#Firmware: MS3 1.5.1 release     20171006 16:30BST (c) JSM/KC ********
PriLevel,SecLevel,Trigger,Sync,ToothTime,Time
Flag,Flag,Flag,Flag,ms,ms
0.0,1.0,0.0,1.0,18.72,71129.414
1.0,1.0,0.0,1.0,12.17,71141.586
0.0,0.0,0.0,1.0,18.633,71160.22
1.0,0.0,0.0,1.0,11.864,71172.086
1.0,1.0,1.0,1.0,9.881,71181.97
0.0,1.0,0.0,1.0,8.58,71190.55
1.0,1.0,0.0,1.0,11.903,71202.45
0.0,0.0,0.0,1.0,18.662,71221.12
0.0,1.0,1.0,1.0,9.948,71231.06
1.0,1.0,0.0,1.0,2.181,71233.24
0.0,1.0,0.0,1.0,18.711,71251.95
1.0,1.0,0.0,1.0,12.1,71264.055
0.0,0.0,0.0,1.0,18.809,71282.87
1.0,0.0,0.0,1.0,12.162,71295.03
1.0,1.0,1.0,1.0,10.108,71305.14
0.0,1.0,0.0,1.0,8.701,71313.84
1.0,1.0,0.0,1.0,12.074,71325.914
0.0,0.0,0.0,1.0,18.905,71344.82
0.0,1.0,1.0,1.0,10.052,71354.875
1.0,1.0,0.0,1.0,2.208,71357.086
0.0,1.0,0.0,1.0,18.989,71376.08
1.0,1.0,0.0,1.0,12.405,71388.484
0.0,0.0,0.0,1.0,18.946,71407.43
1.0,0.0,0.0,1.0,12.055,71419.484
1.0,1.0,1.0,1.0,10.059,71429.55
0.0,1.0,0.0,1.0,8.858,71438.41
1.0,1.0,0.0,1.0,12.438,71450.84
0.0,0.0,0.0,1.0,19.446,71470.29
0.0,1.0,1.0,1.0,10.262,71480.555
1.0,1.0,0.0,1.0,2.259,71482.81
0.0,1.0,0.0,1.0,19.389,71502.2
1.0,1.0,0.0,1.0,12.579,71514.78
0.0,0.0,0.0,1.0,19.362,71534.14
1.0,0.0,0.0,1.0,12.356,71546.5
1.0,1.0,1.0,1.0,10.275,71556.77
0.0,1.0,0.0,1.0,8.849,71565.625
1.0,1.0,0.0,1.0,12.249,71577.875
0.0,0.0,0.0,1.0,19.184,71597.06
0.0,1.0,1.0,1.0,10.189,71607.25
1.0,1.0,0.0,1.0,2.24,71609.49
0.0,1.0,0.0,1.0,19.094,71628.586
1.0,1.0,0.0,1.0,12.327,71640.914
0.0,0.0,0.0,1.0,18.906,71659.82
1.0,0.0,0.0,1.0,12.048,71671.87
1.0,1.0,1.0,1.0,10.016,71681.88
0.0,1.0,0.0,1.0,8.727,71690.61
1.0,1.0,0.0,1.0,12.086,71702.695
0.0,0.0,0.0,1.0,18.714,71721.41
0.0,1.0,1.0,1.0,9.815,71731.22
1.0,1.0,0.0,1.0,2.146,71733.37
0.0,1.0,0.0,1.0,18.528,71751.9
1.0,1.0,0.0,1.0,12.057,71763.95
0.0,0.0,0.0,1.0,18.509,71782.46
1.0,0.0,0.0,1.0,11.818,71794.28
1.0,1.0,1.0,1.0,9.819,71804.1
0.0,1.0,0.0,1.0,8.491,71812.59
1.0,1.0,0.0,1.0,11.771,71824.37
0.0,0.0,0.0,1.0,18.479,71842.84
0.0,1.0,1.0,1.0,9.942,71852.79
1.0,1.0,0.0,1.0,2.189,71854.98
0.0,1.0,0.0,1.0,18.635,71873.61
1.0,1.0,0.0,1.0,12.022,71885.63
0.0,0.0,0.0,1.0,18.536,71904.17
1.0,0.0,0.0,1.0,11.856,71916.03
1.0,1.0,1.0,1.0,9.834,71925.87
0.0,1.0,0.0,1.0,8.437,71934.305
1.0,1.0,0.0,1.0,11.699,71946.0
0.0,0.0,0.0,1.0,18.375,71964.375
0.0,1.0,1.0,1.0,9.865,71974.24
1.0,1.0,0.0,1.0,2.17,71976.414
0.0,1.0,0.0,1.0,18.612,71995.02
1.0,1.0,0.0,1.0,12.075,72007.1
0.0,0.0,0.0,1.0,18.578,72025.68
1.0,0.0,0.0,1.0,11.855,72037.53
1.0,1.0,1.0,1.0,9.83,72047.36
0.0,1.0,0.0,1.0,8.48,72055.836
1.0,1.0,0.0,1.0,11.745,72067.58
0.0,0.0,0.0,1.0,18.298,72085.875
0.0,1.0,1.0,1.0,9.646,72095.52
1.0,1.0,0.0,1.0,2.103,72097.625
0.0,1.0,0.0,1.0,18.086,72115.71
1.0,1.0,0.0,1.0,11.698,72127.41
0.0,0.0,0.0,1.0,18.141,72145.55
1.0,0.0,0.0,1.0,11.668,72157.22
1.0,1.0,1.0,1.0,9.699,72166.914
0.0,1.0,0.0,1.0,8.441,72175.35
1.0,1.0,0.0,1.0,11.691,72187.04
0.0,0.0,0.0,1.0,18.281,72205.32
0.0,1.0,1.0,1.0,9.709,72215.03
1.0,1.0,0.0,1.0,2.124,72217.16
0.0,1.0,0.0,1.0,18.284,72235.44
1.0,1.0,0.0,1.0,11.844,72247.28
0.0,0.0,0.0,1.0,18.207,72265.484
1.0,0.0,0.0,1.0,11.626,72277.11
1.0,1.0,1.0,1.0,9.656,72286.766
0.0,1.0,0.0,1.0,8.428,72295.195
1.0,1.0,0.0,1.0,11.679,72306.875
0.0,0.0,0.0,1.0,18.249,72325.125
0.0,1.0,1.0,1.0,9.679,72334.805
1.0,1.0,0.0,1.0,2.116,72336.92
0.0,1.0,0.0,1.0,18.169,72355.09
1.0,1.0,0.0,1.0,11.772,72366.87
0.0,0.0,0.0,1.0,18.138,72385.01
1.0,0.0,0.0,1.0,11.607,72396.62
1.0,1.0,1.0,1.0,9.641,72406.26
0.0,1.0,0.0,1.0,8.35,72414.61
1.0,1.0,0.0,1.0,11.574,72426.18
0.0,0.0,0.0,1.0,18.088,72444.266
0.0,1.0,1.0,1.0,9.634,72453.9
1.0,1.0,0.0,1.0,2.105,72456.0
0.0,1.0,0.0,1.0,18.215,72474.22
1.0,1.0,0.0,1.0,11.906,72486.125
0.0,0.0,0.0,1.0,18.297,72504.42
1.0,0.0,0.0,1.0,11.69,72516.11
1.0,1.0,1.0,1.0,9.711,72525.82
0.0,1.0,0.0,1.0,8.429,72534.25
1.0,1.0,0.0,1.0,11.696,72545.945
0.0,0.0,0.0,1.0,18.384,72564.33
0.0,1.0,1.0,1.0,9.932,72574.26
1.0,1.0,0.0,1.0,2.191,72576.445
0.0,1.0,0.0,1.0,18.659,72595.1
1.0,1.0,0.0,1.0,12.063,72607.164
0.0,0.0,0.0,1.0,18.596,72625.76
1.0,0.0,0.0,1.0,11.888,72637.65
1.0,1.0,1.0,1.0,9.878,72647.52
0.0,1.0,0.0,1.0,8.53,72656.055
1.0,1.0,0.0,1.0,11.824,72667.875
0.0,0.0,0.0,1.0,18.508,72686.38
0.0,1.0,1.0,1.0,9.87,72696.25
1.0,1.0,0.0,1.0,2.165,72698.414
0.0,1.0,0.0,1.0,18.641,72717.055
1.0,1.0,0.0,1.0,12.124,72729.18
0.0,0.0,0.0,1.0,18.698,72747.875
1.0,0.0,0.0,1.0,11.979,72759.85
1.0,1.0,1.0,1.0,9.925,72769.77
0.0,1.0,0.0,1.0,8.555,72778.33
1.0,1.0,0.0,1.0,11.856,72790.19
0.0,0.0,0.0,1.0,18.61,72808.8
0.0,1.0,1.0,1.0,10.006,72818.805
1.0,1.0,0.0,1.0,2.195,72821.0
0.0,1.0,0.0,1.0,18.763,72839.766
1.0,1.0,0.0,1.0,12.113,72851.875
0.0,0.0,0.0,1.0,18.665,72870.54
1.0,0.0,0.0,1.0,11.911,72882.45
1.0,1.0,1.0,1.0,9.907,72892.36
0.0,1.0,0.0,1.0,8.566,72900.92
1.0,1.0,0.0,1.0,11.87,72912.79
0.0,0.0,0.0,1.0,18.719,72931.51
0.0,1.0,1.0,1.0,10.148,72941.66
1.0,1.0,0.0,1.0,2.242,72943.9
0.0,1.0,0.0,1.0,19.122,72963.02
1.0,1.0,0.0,1.0,12.349,72975.375
0.0,0.0,0.0,1.0,19.001,72994.375
1.0,0.0,0.0,1.0,12.119,73006.49
1.0,1.0,1.0,1.0,10.077,73016.57
0.0,1.0,0.0,1.0,8.695,73025.266
1.0,1.0,0.0,1.0,12.05,73037.31
0.0,0.0,0.0,1.0,18.788,73056.1
0.0,1.0,1.0,1.0,9.934,73066.04
1.0,1.0,0.0,1.0,2.171,73068.21
0.0,1.0,0.0,1.0,18.864,73087.08
1.0,1.0,0.0,1.0,12.445,73099.52
0.0,0.0,0.0,1.0,19.234,73118.76
1.0,0.0,0.0,1.0,12.284,73131.04
1.0,1.0,1.0,1.0,10.211,73141.25
0.0,1.0,0.0,1.0,8.821,73150.07
1.0,1.0,0.0,1.0,12.212,73162.28
0.0,0.0,0.0,1.0,19.105,73181.38
0.0,1.0,1.0,1.0,10.133,73191.516
1.0,1.0,0.0,1.0,2.229,73193.74
0.0,1.0,0.0,1.0,19.008,73212.75
1.0,1.0,0.0,1.0,12.233,73224.984
0.0,0.0,0.0,1.0,18.846,73243.83
1.0,0.0,0.0,1.0,12.0,73255.83
1.0,1.0,1.0,1.0,9.973,73265.805
0.0,1.0,0.0,1.0,8.61,73274.414
1.0,1.0,0.0,1.0,11.955,73286.37
0.0,0.0,0.0,1.0,18.684,73305.055
0.0,1.0,1.0,1.0,9.902,73314.95
1.0,1.0,0.0,1.0,2.164,73317.12
0.0,1.0,0.0,1.0,18.555,73335.67
1.0,1.0,0.0,1.0,11.973,73347.65
0.0,0.0,0.0,1.0,18.404,73366.055
1.0,0.0,0.0,1.0,11.743,73377.8
1.0,1.0,1.0,1.0,9.737,73387.53
0.0,1.0,0.0,1.0,8.405,73395.94
1.0,1.0,0.0,1.0,11.653,73407.59
0.0,0.0,0.0,1.0,18.204,73425.8
0.0,1.0,1.0,1.0,9.654,73435.45
1.0,1.0,0.0,1.0,2.105,73437.555
0.0,1.0,0.0,1.0,18.128,73455.68
1.0,1.0,0.0,1.0,11.732,73467.414
0.0,0.0,0.0,1.0,17.989,73485.41
1.0,0.0,0.0,1.0,11.477,73496.88
1.0,1.0,1.0,1.0,9.54,73506.42
0.0,1.0,0.0,1.0,8.291,73514.71
1.0,1.0,0.0,1.0,11.479,73526.19
0.0,0.0,0.0,1.0,17.971,73544.16
0.0,1.0,1.0,1.0,9.574,73553.73
1.0,1.0,0.0,1.0,2.085,73555.81
0.0,1.0,0.0,1.0,17.936,73573.75
1.0,1.0,0.0,1.0,11.603,73585.35
0.0,0.0,0.0,1.0,17.893,73603.24
1.0,0.0,0.0,1.0,11.478,73614.72
1.0,1.0,1.0,1.0,9.533,73624.25
0.0,1.0,0.0,1.0,8.248,73632.5
1.0,1.0,0.0,1.0,11.456,73643.95
0.0,0.0,0.0,1.0,17.864,73661.82
